価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
428,45,北海道札幌市西区八軒六条西４,3,ＪＲ札沼線「八軒」徒歩13分,1LDK,1979/11,0,0,1,13,,,
430,31.08,北海道札幌市中央区南十五条西１,-,地下鉄南北線「幌平橋」徒歩1分,ワンルーム,1974/5,1,0,0,1,,,
430,48.29,北海道札幌市豊平区月寒西四条５-2-7,-,地下鉄東豊線「美園」徒歩12分,2LDK,1984/8,1,0,0,12,,,
430,31.08,北海道札幌市中央区南十五条西１-１－３０,-,地下鉄南北線「幌平橋」徒歩1分,ワンルーム,1974/5,1,0,0,1,,,
450,53.02,北海道札幌市豊平区中の島二条１０-3-4,6.98,地下鉄南北線「中の島」バス7分停歩3分,2LDK,1974/6,1,0,0,,7,3,
450,61.7,北海道札幌市豊平区中の島二条１０,8.98,地下鉄南北線「澄川」徒歩15分,3LDK,1974/6,1,0,0,15,,,
450,56.57,北海道札幌市西区琴似一条６-4-19,-,地下鉄東西線「琴似」徒歩4分,2LDK,1974/7,1,0,0,4,,,
450,34.85,北海道札幌市中央区大通西１５-２－１８,5.6,地下鉄東西線「西１８丁目」徒歩7分,1K,1978/3,1,0,0,7,,,
450,35.41,北海道札幌市北区北十八条西４,7.35,地下鉄南北線「北１８条」徒歩1分,2DK,1981/5,1,0,0,1,,,
450,29.36,北海道札幌市北区北十八条西４-1-1,14.57,地下鉄南北線「北１８条」徒歩1分,1LDK,1981/5,1,0,0,1,,,
480,53.74,北海道札幌市南区澄川二条４,-,地下鉄南北線「澄川」徒歩11分,2LDK,1982/5,1,0,0,11,,,
480,47.3,北海道札幌市豊平区中の島一条６,-,地下鉄南北線「中の島」徒歩11分,2DK,1981/10,1,0,0,11,,,
480,52.27,北海道札幌市中央区南二十六条西１２,5.4,札幌市電「中央図書館前」徒歩9分,3DK,1978/8,0,1,0,9,,,
480,38.48,北海道札幌市北区北二十七条西１２,-,ＪＲ札沼線「新川」徒歩9分,2DK,1976/5,0,0,1,9,,,
480,39.27,北海道札幌市豊平区平岸二条９,8.1,地下鉄南北線「平岸」徒歩4分,2LDK,1981/9,1,0,0,4,,,
480,55.49,北海道札幌市北区あいの里二条６-3-1,6.95,ＪＲ札沼線「あいの里教育大」徒歩6分,1LDK,1992/10,0,0,1,6,,,
490,27.33,北海道札幌市豊平区平岸一条２-１１－４８,3.33,地下鉄南北線「中の島」徒歩7分,1K,1992/4,1,0,0,7,,,
490,80.98,北海道札幌市南区川沿十七条１,8.55,地下鉄南北線「真駒内」バス20分停歩1分,3LDK,1980/12,1,0,0,,20,1,
498,64.06,北海道札幌市北区あいの里二条６,7.43,ＪＲ札沼線「あいの里教育大」徒歩6分,1LDK+S（納戸）,1992/2,0,0,1,6,,,
498,77.35,北海道札幌市南区真駒内柏丘１-７－２,-,地下鉄南北線「真駒内」バス7分停歩3分,2LDK,1972/4,1,0,0,,7,3,
498,52.46,北海道札幌市中央区南六条西１１,-,地下鉄東西線「西１１丁目」徒歩10分,1LDK,1970/10,1,0,0,10,,,
498,32.6,北海道札幌市中央区大通西２２,3.08,地下鉄東西線「円山公園」徒歩6分,1LDK,1990/9,1,0,0,6,,,
